min_score,min_margin,correct_trigger,correct_abstain,false_trigger,wrong_tier,miss,neighbor_worst_correct
0.52,0.0,39,11,21,8,1,0
0.52,0.001,38,12,20,8,2,0
0.52,0.002,38,13,19,8,2,0
0.52,0.003,37,15,17,5,6,0
0.52,0.004,37,16,16,5,6,0
0.52,0.005,34,20,12,3,11,0
0.52,0.006,34,21,11,3,11,0
0.52,0.007,34,22,10,2,12,0
0.52,0.008,33,23,9,2,13,0
0.52,0.009,32,24,8,1,15,0
0.52,0.01,31,25,7,1,16,0
0.52,0.011,30,28,4,1,17,0
0.52,0.012,27,29,3,0,21,0
0.52,0.013,25,31,1,0,23,0
0.52,0.014,24,31,1,0,24,0
0.52,0.015,24,31,1,0,24,0
0.52,0.016,22,31,1,0,26,0
0.52,0.017,17,31,1,0,31,0
0.52,0.018,15,31,1,0,33,0
0.52,0.019,13,31,1,0,35,0
0.52,0.02,12,31,1,0,36,0
0.52,0.021,11,31,1,0,37,0
0.52,0.022,10,32,0,0,38,0
0.52,0.023,10,32,0,0,38,9
0.52,0.024,9,32,0,0,39,7
0.52,0.025,7,32,0,0,41,7
0.52,0.026,7,32,0,0,41,7
0.52,0.027,7,32,0,0,41,7
0.52,0.028,7,32,0,0,41,7
0.52,0.029,7,32,0,0,41,7
0.52,0.03,7,32,0,0,41,7
0.52,0.031,7,32,0,0,41,7
0.52,0.032,7,32,0,0,41,5
0.52,0.033,5,32,0,0,43,4
0.52,0.034,4,32,0,0,44,4
0.52,0.035,4,32,0,0,44,4
0.52,0.036,4,32,0,0,44,1
0.52,0.037,1,32,0,0,47,1
0.52,0.038,1,32,0,0,47,1
0.52,0.039,1,32,0,0,47,0
0.52,0.04,0,32,0,0,48,0
0.52,0.041,0,32,0,0,48,0
0.52,0.042,0,32,0,0,48,0
0.52,0.043,0,32,0,0,48,0
0.52,0.044,0,32,0,0,48,0
0.52,0.045,0,32,0,0,48,0
0.52,0.046,0,32,0,0,48,0
0.52,0.047,0,32,0,0,48,0
0.52,0.048,0,32,0,0,48,0
0.52,0.049,0,32,0,0,48,0
0.52,0.05,0,32,0,0,48,0
0.525,0.0,39,11,21,8,1,0
0.525,0.001,38,12,20,8,2,0
0.525,0.002,38,13,19,8,2,0
0.525,0.003,37,15,17,5,6,0
0.525,0.004,37,16,16,5,6,0
0.525,0.005,34,20,12,3,11,0
0.525,0.006,34,21,11,3,11,0
0.525,0.007,34,22,10,2,12,0
0.525,0.008,33,23,9,2,13,0
0.525,0.009,32,24,8,1,15,0
0.525,0.01,31,25,7,1,16,0
0.525,0.011,30,28,4,1,17,0
0.525,0.012,27,29,3,0,21,0
0.525,0.013,25,31,1,0,23,0
0.525,0.014,24,31,1,0,24,0
0.525,0.015,24,31,1,0,24,0
0.525,0.016,22,31,1,0,26,0
0.525,0.017,17,31,1,0,31,0
0.525,0.018,15,31,1,0,33,0
0.525,0.019,13,31,1,0,35,0
0.525,0.02,12,31,1,0,36,0
0.525,0.021,11,31,1,0,37,0
0.525,0.022,10,32,0,0,38,0
0.525,0.023,10,32,0,0,38,9
0.525,0.024,9,32,0,0,39,7
0.525,0.025,7,32,0,0,41,7
0.525,0.026,7,32,0,0,41,7
